brand,source_url,product_url,name,description,image_url,current_price,original_price,discount_rate,sold_out,gender,season,item_category,raw_keywords,standard_attributes,dominant_attribute,grade,shell_type,price_band,positioning_y,positioning_x,attribute_coverage_flag,crawled_at
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=254&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=254&gdv=1,3",남성 CSC1938 V1 후드 풀오버,"남성 상의 맨투맨/후드티 IT'S PERFECT, NOW MAKE IT BETTER. 컬럼비아만의 새로운 혁신과 테크놀로지는 아웃도어에 최적화된 기어를 제공합니다. 당신이 좀 더 오랫동안 즐겁게 아웃도어를 즐길 수 있도록 새로운 가이드를 경험하세요.",/data/ProductImages/filtercolorchip/BLACK.png,,,,True,공용,미분류,후디,"CSC1938, PERFECT, NOW, MAKE, BETTER",,기타,Entry,Unknown,기타,Mass,Lifestyle,Critical,2026-04-08 09:10
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=263&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=263&gdv=1,3",[공식몰 단독] 공용 헬베시아 II 프린티드 하프스냅 플리스 풀오버,"남성 상의 플리스 IT'S PERFECT, NOW MAKE IT BETTER. 컬럼비아만의 새로운 혁신과 테크놀로지는 아웃도어에 최적화된 기어를 제공합니다. 당신이 좀 더 오랫동안 즐겁게 아웃도어를 즐길 수 있도록 새로운 가이드를 경험하세요.",/data/ProductImages/filtercolorchip/BROWN.png,,,,True,공용,미분류,플리스,"플리스, PERFECT, NOW, MAKE, BETTER",보온,보온,Entry,Unknown,기타,Mass,Lifestyle,Critical,2026-04-08 09:10
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=251&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=251&gdv=1,3",공용 고트 림 OF 크루넥 반팔 티셔츠,"남성 상의 라운드티 IT'S PERFECT, NOW MAKE IT BETTER. 컬럼비아만의 새로운 혁신과 테크놀로지는 아웃도어에 최적화된 기어를 제공합니다. 당신이 좀 더 오랫동안 즐겁게 아웃도어를 즐길 수 있도록 새로운 가이드를 경험하세요.",/data/ProductImages/filtercolorchip/BLACK.png,,,,True,공용,미분류,티셔츠,"PERFECT, NOW, MAKE, BETTER",,기타,Entry,Unknown,기타,Mass,Lifestyle,Critical,2026-04-08 09:10
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=257&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=257&gdv=1,3",남성 콜로라도 리버 폴로 티셔츠,"남성 상의 폴로티/집업 IT'S PERFECT, NOW MAKE IT BETTER. 컬럼비아만의 새로운 혁신과 테크놀로지는 아웃도어에 최적화된 기어를 제공합니다. 당신이 좀 더 오랫동안 즐겁게 아웃도어를 즐길 수 있도록 새로운 가이드를 경험하세요.",/data/ProductImages/filtercolorchip/BLACK.png,,,,True,공용,미분류,집티,"PERFECT, NOW, MAKE, BETTER",,기타,Entry,Unknown,기타,Mass,Lifestyle,Critical,2026-04-08 09:10
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=381&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=381&gdv=1,3",남성 글레시얼 비스타 긴팔 쿨링 셔츠,"공용 고트 림 OF 크루넥 반팔 티셔츠 79,000원 SOLD OUT COMING SOON #쿨링 5.0 (1) 90 95 100 105 110 90 95 100 105 110 90 95 100 105 110 90 95 100 105 110",/data/ProductImages/filtercolorchip/BLACK.png,,,,True,공용,미분류,티셔츠,"SOLD, OUT, COMING, SOON",,기타,Entry,Unknown,기타,Mass,Lifestyle,Critical,2026-04-08 09:10
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=300&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=300&gdv=1,3",남성 ROC 라이트 5 포켓 팬츠,"남성 하의 IT'S PERFECT, NOW MAKE IT BETTER. 컬럼비아만의 새로운 혁신과 테크놀로지는 아웃도어에 최적화된 기어를 제공합니다. 당신이 좀 더 오랫동안 즐겁게 아웃도어를 즐길 수 있도록 새로운 가이드를 경험하세요.",/data/ProductImages/filtercolorchip/BLACK.png,,,,True,공용,미분류,팬츠,"ROC, PERFECT, NOW, MAKE, BETTER",,기타,Entry,Unknown,기타,Mass,Lifestyle,Critical,2026-04-08 09:10
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=307&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=307&gdv=1,3",남성 캐니 코브 조거 팬츠,"남성 하의 카고/조거 IT'S PERFECT, NOW MAKE IT BETTER. 컬럼비아만의 새로운 혁신과 테크놀로지는 아웃도어에 최적화된 기어를 제공합니다. 당신이 좀 더 오랫동안 즐겁게 아웃도어를 즐길 수 있도록 새로운 가이드를 경험하세요.",/data/ProductImages/filtercolorchip/BLACK.png,149000.0,149000.0,0.0,True,공용,미분류,팬츠,"PERFECT, NOW, MAKE, BETTER",,기타,Entry,Unknown,10-19.9만,Mass,Lifestyle,Critical,2026-04-08 09:10
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=304&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=304&gdv=1,3",공용 리드 아일랜드 쇼츠,"남성 하의 반바지 IT'S PERFECT, NOW MAKE IT BETTER. 컬럼비아만의 새로운 혁신과 테크놀로지는 아웃도어에 최적화된 기어를 제공합니다. 당신이 좀 더 오랫동안 즐겁게 아웃도어를 즐길 수 있도록 새로운 가이드를 경험하세요.",/data/ProductImages/filtercolorchip/BLACK.png,,,,True,공용,미분류,팬츠,"PERFECT, NOW, MAKE, BETTER",,기타,Entry,Unknown,기타,Mass,Lifestyle,Critical,2026-04-08 09:10
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=301&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=301&gdv=1,3",남성 베나도 림 팬츠,"남성 하의 긴바지 IT'S PERFECT, NOW MAKE IT BETTER. 컬럼비아만의 새로운 혁신과 테크놀로지는 아웃도어에 최적화된 기어를 제공합니다. 당신이 좀 더 오랫동안 즐겁게 아웃도어를 즐길 수 있도록 새로운 가이드를 경험하세요.",/data/ProductImages/filtercolorchip/BLACK.png,,,,True,공용,미분류,팬츠,"PERFECT, NOW, MAKE, BETTER",,기타,Entry,Unknown,기타,Mass,Lifestyle,Critical,2026-04-08 09:10
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=350&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=350&gdv=1,3",[추영우 착용] 남성 픽프릭 러쉬 샌들,"[추영우 착용] 남성 텔루릭스 타이타늄 아웃드라이 와이드 219,000원 SOLD OUT COMING SOON #비브람 5.0 (35) 260 265 270 275 280 285 290 255 260 265 270 275 280 285 290 300 255 265 270 275 280 285 290 300",/data/ProductImages/filtercolorchip/BLACK.png,159000.0,159000.0,0.0,True,공용,미분류,슈즈,"SOLD, OUT, COMING, SOON",,기타,Entry,Unknown,10-19.9만,Premium,Lifestyle,Critical,2026-04-08 09:10
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=959&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=959&gdv=1,3",남성 PFG 프로 스포츠 레인 부츠,"남성 픽프릭 러쉬 아웃드라이 와이드 199,000원 SOLD OUT COMING SOON #옴니맥스 #워터프루프 4.9 (64) 255 260 265 270 275 280 285 290 255 260 265 270 275 280 285 290 300 255 260 265 270 275 280 285 290 300 255 260 265 270 275 280 285 290",/data/ProductImages/filtercolorchip/BLACK.png,,,,True,공용,미분류,슈즈,"PFG, SOLD, OUT, COMING, SOON",,기타,Entry,Unknown,기타,Mass,Lifestyle,Critical,2026-04-08 09:10
