member_grade_label,coupon_flag,coupon_name,point_flag,promotion_flag,orders,buyers,quantity,revenue,aov
FAMILY,쿠폰 사용,"첫 구매 장바구니 10% 할인 / 신규회원 스페셜 5,000",포인트 미사용,일반 상품,24,24,30,3483342,145139.25
FAMILY,쿠폰 사용,등급할인10% / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,32,32,36,3434400,107325.0
FAMILY,쿠폰 사용,202511 생일축하쿠폰1만원,포인트 사용,일반 상품,50,50,50,3369670,67393.4
FAMILY,쿠폰 사용,등급할인10% / 26년 신상품 20만원이상 2만원할인,포인트 미사용,일반 상품,14,14,26,3311200,236514.2857142857
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 등급할인10%,포인트 미사용,일반 상품,26,26,34,3299580,126906.92307692308
FAMILY,쿠폰 사용,2025년 11월 신규회원 5000원 할인,포인트 사용,일반 상품,23,23,23,3287800,142947.8260869565
FAMILY,쿠폰 사용,202511 생일축하쿠폰1만원,포인트 미사용,일반 상품,39,39,39,3250400,83343.58974358975
FAMILY,쿠폰 사용,26년 신상품 20만원이상 2만원할인 / 등급할인10%,포인트 미사용,일반 상품,15,15,25,3201660,213444.0
FAMILY,쿠폰 사용,202601 생일축하쿠폰1만원,포인트 미사용,일반 상품,48,48,48,3171298,66068.70833333333
FAMILY,쿠폰 사용,2026년 4월 신규회원 5000원 할인,포인트 사용,일반 상품,28,28,28,2837270,101331.07142857143
FAMILY,쿠폰 사용,202602 생일축하쿠폰1만원,포인트 미사용,일반 상품,37,37,37,2681058,72461.02702702703
FAMILY,쿠폰 사용,2025년 11월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,13,13,15,2674620,205740.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 202601 생일축하쿠폰1만원,포인트 미사용,일반 상품,15,15,18,2608110,173874.0
FAMILY,쿠폰 사용,202603 생일축하쿠폰1만원,포인트 사용,일반 상품,45,45,45,2550990,56688.666666666664
FAMILY,쿠폰 사용,2025년 11월 신규회원 5000원 할인,포인트 미사용,일반 상품,14,14,14,2525400,180385.7142857143
FAMILY,쿠폰 미사용,등급할인10%,포인트 미사용,일반 상품,26,26,35,2493900,95919.23076923077
FAMILY,쿠폰 사용,등급할인10% / 26년 신상품 40만원이상 4만원할인,포인트 사용,일반 상품,6,6,14,2481210,413535.0
FAMILY,쿠폰 사용,202605 생일축하쿠폰1만원,포인트 사용,일반 상품,52,52,52,2471850,47535.57692307692
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 6월 신규회원 5000원 할인,포인트 미사용,일반 상품,18,18,29,2410650,133925.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 6월 신규회원 5000원 할인,포인트 사용,일반 상품,16,16,25,2298640,143665.0
FAMILY,쿠폰 사용,202603 생일축하쿠폰1만원,포인트 미사용,일반 상품,34,34,34,2211780,65052.35294117647
FAMILY,쿠폰 사용,2026년 1월 신규회원 5000원 할인,포인트 미사용,일반 상품,25,25,25,2208600,88344.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2025년 11월 신규회원 5000원 할인,포인트 미사용,일반 상품,14,14,15,2177010,155500.7142857143
FAMILY,쿠폰 사용,등급할인10% / 26년 신상품 30만원이상 3만원할인,포인트 사용,일반 상품,7,7,18,2171560,310222.85714285716
FAMILY,쿠폰 사용,2026년 4월 신규회원 5000원 할인,포인트 미사용,일반 상품,22,22,23,2102700,95577.27272727272
FAMILY,쿠폰 사용,26년 신상품 30만원이상 3만원할인,포인트 미사용,일반 상품,7,7,10,2084200,297742.85714285716
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 202602 생일축하쿠폰1만원,포인트 사용,일반 상품,21,21,22,2066115,98386.42857142857
FAMILY,쿠폰 미사용,무료배송쿠폰(3만원미만 사용가능),포인트 사용,일반 상품,117,117,143,2047107,17496.641025641027
FAMILY,쿠폰 사용,26년 신상품 40만원이상 4만원할인,포인트 사용,일반 상품,5,5,9,2045020,409004.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 202512 생일축하쿠폰1만원,포인트 미사용,일반 상품,13,13,13,2008440,154495.38461538462
FAMILY,쿠폰 미사용,202601 생일축하쿠폰1만원,포인트 사용,일반 상품,31,31,40,1939609,62568.032258064515
FAMILY,쿠폰 사용,202601 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,12,12,13,1840470,153372.5
FAMILY,쿠폰 사용,202605 생일축하쿠폰1만원,포인트 미사용,일반 상품,27,27,27,1831600,67837.03703703704
FAMILY,쿠폰 미사용,26년 신상품 10만원이상 1만원할인 / 등급할인10%,포인트 사용,일반 상품,18,18,30,1769310,98295.0
FAMILY,쿠폰 미사용,202602 생일축하쿠폰1만원,포인트 사용,일반 상품,42,42,55,1759019,41881.40476190476
FAMILY,쿠폰 사용,2026년 2월 신규회원 5000원 할인,포인트 미사용,일반 상품,18,18,19,1756850,97602.77777777778
FAMILY,쿠폰 사용,"신규회원 스페셜 5,000",포인트 사용,일반 상품,20,20,20,1694040,84702.0
FAMILY,쿠폰 사용,2026년 3월 신규회원 5000원 할인,포인트 미사용,일반 상품,14,14,14,1678500,119892.85714285714
FAMILY,쿠폰 사용,25년 신상품 10만원이상 1만원할인 / 등급할인10%,포인트 사용,일반 상품,12,12,19,1657570,138130.83333333334
FAMILY,쿠폰 사용,등급할인10% / GNR 스페셜 20%,포인트 사용,일반 상품,13,13,18,1647390,126722.30769230769
FAMILY,쿠폰 사용,25년 신상품 10만원이상 1만원할인,포인트 미사용,일반 상품,12,11,15,1635000,136250.0
FAMILY,쿠폰 사용,등급할인10% / 26년 신상품 40만원이상 4만원할인,포인트 미사용,일반 상품,4,4,8,1612400,403100.0
FAMILY,쿠폰 미사용,등급할인10% / 26년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,21,21,26,1600049,76192.80952380953
FAMILY,쿠폰 사용,2026년 5월 신규회원 5000원 할인,포인트 사용,일반 상품,18,18,18,1564730,86929.44444444444
FAMILY,쿠폰 미사용,첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,28,28,39,1556397,55585.607142857145
FAMILY,쿠폰 사용,25년 신상품 20만원이상 2만원할인,포인트 미사용,일반 상품,7,7,11,1553000,221857.14285714287
FAMILY,쿠폰 사용,26년 신상품 50만원이상 5만원할인,포인트 미사용,일반 상품,3,3,16,1540000,513333.3333333333
FAMILY,쿠폰 미사용,26년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,19,19,25,1535470,80814.21052631579
FAMILY,쿠폰 사용,등급할인10% / 26년 신상품 30만원이상 3만원할인,포인트 미사용,일반 상품,5,5,12,1493500,298700.0
FAMILY,쿠폰 사용,"신규회원 스페셜 5,000",포인트 미사용,일반 상품,11,11,11,1471200,133745.45454545456
FAMILY,쿠폰 사용,202604 생일축하쿠폰1만원,포인트 미사용,일반 상품,25,25,25,1442400,57696.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 202602 생일축하쿠폰1만원,포인트 미사용,일반 상품,8,8,11,1409175,176146.875
FAMILY,쿠폰 사용,GNR 스페셜 20% / 2026년 4월 신규회원 5000원 할인,포인트 사용,일반 상품,9,9,13,1367900,151988.88888888888
FAMILY,쿠폰 사용,202602 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,10,10,11,1348692,134869.2
FAMILY,쿠폰 사용,2026년 6월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,10,10,14,1309510,130951.0
FAMILY,쿠폰 미사용,202604 생일축하쿠폰1만원,포인트 사용,일반 상품,23,23,30,1309280,56925.217391304344
FAMILY,쿠폰 사용,26년 신상품 20만원이상 2만원할인 / 202601 생일축하쿠폰1만원,포인트 사용,일반 상품,7,7,9,1266390,180912.85714285713
FAMILY,쿠폰 사용,26년 신상품 40만원이상 4만원할인 / 등급할인10%,포인트 사용,일반 상품,3,3,6,1187980,395993.3333333333
