member_grade_label,product_code,product_name_kor,product_name,source_image_url,repeat_orders,repeat_buyers,quantity,revenue,rank_in_grade,image_url,image_source,repeat_rate
GOLD,C64YM3572287,[추영우 착용] 남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,2,1,2,945655,4,assets/product_images/C64YM3572287.jpg,excel_map+downloaded,0.5
GOLD,C64XM9802225,[스타워즈] 남성 제네럴 한 솔로 트렌치 인터체인지 코트,General Han Solo Trench,,1,1,1,867360,5,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C64XM9802225.jpg,styleship_cdn_pattern,1.0
GOLD,C54YM3473278,남성 클라이브 레이크 Ⅱ 다운 자켓,Ms Clive Lake™ Ⅱ Down Jacket,,3,3,3,854600,6,assets/product_images/C54YM3473278.jpg,excel_map+downloaded,1.0
GOLD,C54YM8496010,남성 하이크 보울 코브™ 플리스 조거 팬츠,Ms Hike Bowl Cove™ Fleece Jogger Pants,,1,1,9,801000,7,assets/product_images/C54YM8496010.jpg,excel_map+downloaded,1.0
GOLD,C66YU0154010,공용 헤이지 저니 2 워터프루프,HAZY JOURNEY II WATERPROOF,,6,5,6,684230,8,assets/product_images/C66YU0154010.jpg,styleship_cdn_pattern+downloaded,0.8333333333333334
SILVER,C64YM3572010,남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,9,9,9,4860100,1,assets/product_images/C64YM3572010.jpg,excel_map+downloaded,1.0
SILVER,C64YM3579010,공용 컬럼비아 락 롱 다운 자켓,M's Columbia Rock Long Down Jacket,,6,6,6,3756440,2,assets/product_images/C64YM3579010.jpg,excel_map+downloaded,1.0
SILVER,C56YU8517010,공용 샙랜드3 WP OHI,SAPLAND III WP OMNI-HEAT INFINITY,,20,16,27,3314785,3,assets/product_images/C56YU8517010.jpg,excel_map+downloaded,0.8
SILVER,C54YM3479010,공용 마운틴 후드 롱 다운 자켓,MT.Hood™ Long Down Jacket,,9,9,9,2930340,4,assets/product_images/C54YM3479010.jpg,excel_map+downloaded,1.0
SILVER,C64YM3572027,남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,5,5,5,2483125,5,assets/product_images/C64YM3572027.jpg,excel_map+downloaded,1.0
SILVER,C64YM8587439,남성 다트 포레스트 코듀로이 팬츠,M's Dart Forest Corduroy Pants,,20,19,20,2326595,6,assets/product_images/C64YM8587439.jpg,excel_map+downloaded,0.95
SILVER,C66YM2461342,[스타워즈] 남성 엔도어 이슈 부츠,Endor Issue Boot,,8,8,8,2293340,7,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C66YM2461342.jpg,styleship_cdn_pattern,1.0
SILVER,C64YM3574010,공용 마운틴 후드 다운 자켓,MT.Hood Down Jacket,,4,4,4,2173380,8,assets/product_images/C64YM3574010.jpg,excel_map+downloaded,1.0
TITANIUM,C66YM0659010,공용 트레일 투 브러쉬 부니,Trail to Brush Booney,,3,2,90,3425830,1,assets/product_images/C66YM0659010.jpg,excel_map+downloaded,0.6666666666666666
TITANIUM,C56YU8517010,공용 샙랜드3 WP OHI,SAPLAND III WP OMNI-HEAT INFINITY,,13,2,27,3095975,2,assets/product_images/C56YU8517010.jpg,excel_map+downloaded,0.15384615384615385
TITANIUM,C66UU4597010,공용 트리플 캐니언 24L 백팩,Triple Canyon 24L Backpack,,2,2,20,2447200,3,assets/product_images/C66UU4597010.jpg,excel_map+downloaded,1.0
TITANIUM,C66PU8700010,공용 스트림 사코슈 백,Price Stream Sacoche,,1,1,75,2340000,4,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C66PU8700010.jpg,styleship_cdn_pattern,1.0
TITANIUM,C56YU8549010,공용 샙랜드3 처카 WP OHI,SAPLAND III CHUKKA WP OH INFINITY,,10,2,11,1440160,5,assets/product_images/C56YU8549010.jpg,excel_map+downloaded,0.2
TITANIUM,C66YU0367010,공용 레드우드 35L 백팩,REDWOOD35 BACKPACK,,3,1,8,1202000,6,assets/product_images/C66YU0367010.jpg,excel_map+downloaded,0.3333333333333333
