order_date,member_grade_label,first_category,second_category,transition_buyers,second_orders,quantity,revenue
2024-05-10,FAMILY,남성,긴바지,2,2,2,183930
2024-05-10,FAMILY,남성,라운드티,1,1,1,55620
2024-05-10,FAMILY,남성,햇,1,1,1,25920
2024-05-10,FAMILY,여성,남성,1,1,1,19150
2024-05-10,FAMILY,자켓/ 베스트,햇,1,1,1,25920
2024-05-11,FAMILY,긴바지,남성,2,2,2,223500
2024-05-11,FAMILY,남성,여성,1,1,1,149000
2024-05-11,FAMILY,남성,트레일러닝,1,1,1,109000
2024-05-11,FAMILY,남성,반바지,1,1,1,21070
2024-05-11,FAMILY,라운드티,자켓/ 베스트,1,1,1,89500
2024-05-11,FAMILY,맨투맨/후드티,남성,1,1,1,99500
2024-05-11,FAMILY,바람막이,자켓/ 베스트,1,1,1,89500
2024-05-11,GOLD,남성,셋업,1,1,1,85350
2024-05-11,SILVER,남성,남성,1,1,1,39500
2024-05-11,SILVER,바람막이,남성,1,1,1,39500
2024-05-12,FAMILY,긴바지,자켓/ 베스트,1,1,1,155240
2024-05-12,FAMILY,남성,등산화,1,1,1,84500
2024-05-12,FAMILY,남성,남성,2,2,2,78020
2024-05-12,FAMILY,라운드티,남성,2,2,2,157760
2024-05-12,FAMILY,라운드티,등산화,1,1,1,84500
2024-05-12,FAMILY,라운드티,셋업,1,1,1,84500
2024-05-12,FAMILY,라운드티,긴바지,1,1,1,59500
2024-05-12,FAMILY,맨투맨/후드티,셋업,1,1,1,84500
2024-05-12,FAMILY,맨투맨/후드티,긴바지,1,1,1,59500
2024-05-12,FAMILY,바람막이,남성,2,2,2,134480
2024-05-12,FAMILY,상의,남성,1,1,1,109500
2024-05-12,FAMILY,자켓/ 베스트,자켓/ 베스트,1,1,1,175200
2024-05-12,FAMILY,햇,햇,1,1,1,42110
2024-05-13,FAMILY,남성,상의,1,1,1,61440
2024-05-13,FAMILY,남성,남성,1,1,1,55200
2024-05-14,FAMILY,긴바지,긴바지,1,1,1,71200
2024-05-14,FAMILY,남성,남성,2,2,2,155500
2024-05-14,FAMILY,남성,스니커즈,1,1,1,68710
2024-05-14,FAMILY,남성,긴바지,1,1,1,59500
2024-05-14,FAMILY,상의,셋업,1,1,1,71200
2024-05-14,FAMILY,하이킹,남성,1,1,1,132970
2024-05-14,SILVER,남성,남성,1,1,2,64000
2024-05-14,SILVER,남성,바람막이,1,1,1,49500
2024-05-14,SILVER,남성,반바지,1,1,1,39500
2024-05-14,SILVER,남성,UNKNOWN,1,1,1,34500
2024-05-15,FAMILY,긴바지,남성,1,1,1,68650
2024-05-15,FAMILY,남성,남성,3,3,3,242950
2024-05-15,FAMILY,라운드티,남성,1,1,1,76300
2024-05-15,FAMILY,반바지,라운드티,1,1,1,69000
2024-05-15,TITANIUM,남성,남성,1,1,1,27200
2024-05-15,TITANIUM,바람막이,남성,1,1,1,27200
2024-05-16,FAMILY,남성,남성,1,1,1,59000
2024-05-16,FAMILY,라운드티,긴바지,1,1,1,59500
2024-05-16,FAMILY,자켓/ 베스트,남성,1,1,1,45990
2024-05-16,FAMILY,하이킹,남성,1,1,1,149000
2024-05-17,FAMILY,UNKNOWN,라운드티,1,1,1,87540
2024-05-17,FAMILY,UNKNOWN,남성,1,1,2,76720
2024-05-17,FAMILY,UNKNOWN,UNKNOWN,1,1,1,69000
2024-05-17,FAMILY,남성,남성,2,2,3,86110
2024-05-17,SILVER,셋업,남성,1,1,1,39000
2024-05-17,SILVER,셔츠,남성,1,1,1,39000
2024-05-18,FAMILY,긴바지,남성,1,1,2,40000
2024-05-18,FAMILY,남성,남성,1,1,1,76130
2024-05-18,FAMILY,남성,긴바지,1,1,1,60860
2024-05-18,FAMILY,반바지,남성,1,1,1,76130
2024-05-18,FAMILY,방수자켓,긴바지,1,1,1,60860
2024-05-18,FAMILY,햇,남성,2,2,2,125130
2024-05-18,SILVER,남성,남성,1,1,2,88000
2024-05-19,FAMILY,UNKNOWN,긴바지,1,1,1,139000
2024-05-19,FAMILY,UNKNOWN,남성,1,1,1,79000
2024-05-19,FAMILY,UNKNOWN,라운드티,1,1,1,30380
2024-05-19,FAMILY,가방,햇,1,1,1,40570
2024-05-19,FAMILY,남성,남성,1,1,1,39000
2024-05-19,FAMILY,남성,라운드티,1,1,1,30380
2024-05-19,FAMILY,라운드티,긴바지,2,2,3,253000
2024-05-19,FAMILY,라운드티,남성,2,2,3,235780
2024-05-19,FAMILY,라운드티,UNKNOWN,1,1,1,175590
2024-05-19,FAMILY,라운드티,반바지,2,2,2,88500
2024-05-19,FAMILY,라운드티,라운드티,1,1,1,87310
2024-05-19,FAMILY,라운드티,셔츠,1,1,1,44500
2024-05-19,FAMILY,반바지,라운드티,1,1,1,30380
2024-05-20,FAMILY,남성,남성,2,2,8,171360
2024-05-20,FAMILY,남성,바람막이,1,1,1,149350
2024-05-20,FAMILY,남성,긴바지,1,1,1,111200
2024-05-20,FAMILY,남성,햇,1,1,1,19500
2024-05-20,FAMILY,라운드티,남성,1,1,1,34500
2024-05-21,FAMILY,남성,라운드티,2,2,2,98500
2024-05-21,FAMILY,남성,긴바지,1,1,1,87200
2024-05-21,FAMILY,남성,남성,1,1,2,10000
2024-05-21,FAMILY,라운드티,남성,2,2,3,131440
