coupon_flag,coupon_name,point_flag,promotion_flag,orders,buyers,quantity,revenue,coupon_amount,mileage_amount,promotion_amount,aov
쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 4월 신규회원 5000원 할인 / 등급할인10%,포인트 사용,일반 상품,3,3,6,648070,117930,8000,0,216023.33333333334
쿠폰 사용,26년 신상품 70만원이상 7만원할인 / 등급할인10% / 202601 생일축하쿠폰1만원,포인트 사용,일반 상품,1,1,2,638100,119900,20000,0,638100.0
쿠폰 사용,등급할인20% / 등급할인20% / 26년 신상품 70만원이상 7만원할인,포인트 사용,일반 상품,1,1,6,631270,141600,27130,0,631270.0
쿠폰 사용,등급할인10% / GNR 스페셜 20%,포인트 미사용,일반 상품,6,6,9,614880,227120,0,0,102480.0
쿠폰 사용,등급할인10% / 2026년 4월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,2,2,7,613760,103440,4000,0,306880.0
쿠폰 사용,"GNR 스페셜 20% / 신규회원 스페셜 5,000",포인트 사용,일반 상품,4,4,6,602000,152000,10000,0,150500.0
쿠폰 미사용,26년 신상품 20만원이상 2만원할인 / 등급할인20%,포인트 사용,일반 상품,5,5,11,596100,0,17900,0,119220.0
쿠폰 사용,26년 신상품 30만원이상 3만원할인 / 등급할인20% / 등급할인20%,포인트 사용,일반 상품,2,2,5,595920,203200,35880,0,297960.0
쿠폰 미사용,202511 생일축하쿠폰1만원,포인트 미사용,일반 상품,7,7,10,594900,0,0,0,84985.71428571429
쿠폰 사용,등급할인10% / 2026년 3월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,1,1,5,590090,106910,4000,0,590090.0
쿠폰 사용,Winter Festival 10% (오전10시),포인트 미사용,일반 상품,2,2,5,588600,65400,0,0,294300.0
쿠폰 사용,첫 구매 장바구니 10% 할인 / 202604 생일축하쿠폰1만원,포인트 미사용,일반 상품,6,6,6,586350,125150,0,0,97725.0
쿠폰 사용,등급할인20% / 등급할인20% / 26년 신상품 20만원이상 2만원할인,포인트 미사용,일반 상품,3,3,5,584880,210120,0,0,194960.0
쿠폰 사용,202602 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,4,4,4,583470,104830,0,0,145867.5
쿠폰 사용,첫 구매 장바구니 10% 할인 / 202605 생일축하쿠폰1만원,포인트 사용,일반 상품,7,7,7,583390,139710,44000,0,83341.42857142857
쿠폰 사용,등급할인10% / 구매 감사 장바구니 10% 할인,포인트 사용,일반 상품,4,4,8,578760,90440,42800,0,144690.0
쿠폰 사용,26년 신상품 10만원이상 1만원할인 / 202604 생일축하쿠폰1만원 / 등급할인10%,포인트 사용,일반 상품,4,4,8,567660,104700,42940,0,141915.0
쿠폰 미사용,26년 신상품 20만원이상 2만원할인,포인트 사용,일반 상품,10,10,11,565948,0,31550,0,56594.8
쿠폰 사용,등급할인20% / 26년 신상품 10만원이상 1만원할인,포인트 미사용,일반 상품,4,4,7,554000,169000,0,0,138500.0
