member_grade_label,coupon_flag,coupon_name,point_flag,promotion_flag,orders,buyers,quantity,revenue,aov
FAMILY,쿠폰 사용,26년 신상품 70만원이상 7만원할인 / 등급할인10% / 202601 생일축하쿠폰1만원,포인트 사용,일반 상품,1,1,2,638100,638100.0
FAMILY,쿠폰 사용,등급할인10% / GNR 스페셜 20%,포인트 미사용,일반 상품,6,6,9,614880,102480.0
FAMILY,쿠폰 사용,등급할인10% / 2026년 4월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,2,2,7,613760,306880.0
FAMILY,쿠폰 사용,"GNR 스페셜 20% / 신규회원 스페셜 5,000",포인트 사용,일반 상품,4,4,6,602000,150500.0
FAMILY,쿠폰 사용,25년 신상품 30만원이상 3만원할인 / 등급할인10%,포인트 사용,일반 상품,2,2,2,592140,296070.0
FAMILY,쿠폰 사용,등급할인10% / 2026년 3월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,1,1,5,590090,590090.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 202604 생일축하쿠폰1만원,포인트 미사용,일반 상품,6,6,6,586350,97725.0
FAMILY,쿠폰 사용,202602 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,4,4,4,583470,145867.5
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 202605 생일축하쿠폰1만원,포인트 사용,일반 상품,7,7,7,583390,83341.42857142857
FAMILY,쿠폰 사용,Winter Festival 10% (오후6시),포인트 미사용,일반 상품,3,3,3,580950,193650.0
FAMILY,쿠폰 사용,등급할인10% / 구매 감사 장바구니 10% 할인,포인트 사용,일반 상품,4,4,8,578760,144690.0
FAMILY,쿠폰 사용,26년 신상품 10만원이상 1만원할인 / 202604 생일축하쿠폰1만원 / 등급할인10%,포인트 사용,일반 상품,4,4,8,567660,141915.0
FAMILY,쿠폰 미사용,F25 온라인 전용 10% 할인,포인트 사용,일반 상품,6,6,14,566460,94410.0
FAMILY,쿠폰 미사용,202511 생일축하쿠폰1만원,포인트 미사용,일반 상품,6,6,9,565900,94316.66666666667
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2025년 12월 신규회원 5000원 할인 / 202512 생일축하쿠폰1만원,포인트 사용,일반 상품,2,2,6,545130,272565.0
FAMILY,쿠폰 사용,26년 신상품 10만원이상 1만원할인 / 비오는날 10% 스페셜 할인,포인트 사용,일반 상품,4,4,4,541590,135397.5
FAMILY,쿠폰 미사용,26년 신상품 20만원이상 2만원할인,포인트 사용,일반 상품,9,9,10,537988,59776.444444444445
FAMILY,쿠폰 사용,Winter Festival 10% (오전10시),포인트 사용,일반 상품,5,5,5,515640,103128.0
FAMILY,쿠폰 사용,등급할인10% / 25년 신상품 10만원이상 1만원할인,포인트 미사용,일반 상품,4,4,4,514400,128600.0
FAMILY,쿠폰 미사용,첫 구매 장바구니 10% 할인 / 2026년 1월 신규회원 5000원 할인,포인트 미사용,일반 상품,5,5,7,505650,101130.0
FAMILY,쿠폰 사용,2026년 3월 신규회원 5000원 할인 / GNR 스페셜 20%,포인트 미사용,일반 상품,4,4,10,504000,126000.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 4월 신규회원 5000원 할인 / 등급할인10%,포인트 미사용,일반 상품,2,2,6,498330,249165.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 5월 신규회원 5000원 할인 / 등급할인10%,포인트 사용,일반 상품,2,2,4,496380,248190.0
FAMILY,쿠폰 사용,202511 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,2,2,2,493470,246735.0
FAMILY,쿠폰 사용,202512 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,4,4,4,489600,122400.0
FAMILY,쿠폰 사용,202601 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,3,3,4,488070,162690.0
FAMILY,쿠폰 사용,무료배송쿠폰(3만원미만 사용가능) / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,28,28,30,486190,17363.928571428572
FAMILY,쿠폰 사용,25년 신상품 50만원이상 5만원할인,포인트 미사용,일반 상품,1,1,44,480000,480000.0
FAMILY,쿠폰 사용,Winter Festival 10% (오전10시),포인트 미사용,일반 상품,1,1,4,476100,476100.0
FAMILY,쿠폰 사용,"GNR 스페셜 20% / 신규회원 스페셜 5,000",포인트 미사용,일반 상품,2,2,4,475600,237800.0
FAMILY,쿠폰 사용,202605 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,5,5,5,466020,93204.0
FAMILY,쿠폰 사용,GNR 스페셜 20% / 2026년 4월 신규회원 5000원 할인,포인트 미사용,일반 상품,5,5,6,463200,92640.0
FAMILY,쿠폰 미사용,202603 생일축하쿠폰1만원,포인트 사용,일반 상품,6,6,8,461530,76921.66666666667
FAMILY,쿠폰 사용,26년 신상품 10만원이상 1만원할인 / 202603 생일축하쿠폰1만원,포인트 사용,일반 상품,5,5,8,458300,91660.0
FAMILY,쿠폰 미사용,등급할인10% / 26년 신상품 10만원이상 1만원할인,포인트 미사용,일반 상품,4,4,8,453900,113475.0
FAMILY,쿠폰 미사용,26년 신상품 10만원이상 1만원할인 / 등급할인10%,포인트 미사용,일반 상품,7,7,10,452500,64642.857142857145
FAMILY,쿠폰 사용,2026년 4월 신규회원 5000원 할인 / GNR 스페셜 20%,포인트 미사용,일반 상품,4,4,6,451200,112800.0
FAMILY,쿠폰 미사용,첫 구매 장바구니 10% 할인 / 2026년 1월 신규회원 5000원 할인,포인트 사용,일반 상품,7,7,8,442190,63170.0
FAMILY,쿠폰 사용,Winter Festival 5% (오후6시) / 202511 생일축하쿠폰1만원,포인트 미사용,일반 상품,1,1,1,442030,442030.0
FAMILY,쿠폰 사용,202602 생일축하쿠폰1만원 / 26년 신상품 20만원이상 2만원할인,포인트 미사용,일반 상품,2,2,3,431770,215885.0
FAMILY,쿠폰 사용,2026년 1월 신규회원 5000원 할인 / F25 온라인 전용 10% 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,1,1,5,431710,431710.0
FAMILY,쿠폰 사용,GNR 스페셜 20% / 2026년 3월 신규회원 5000원 할인,포인트 사용,일반 상품,3,3,6,431200,143733.33333333334
FAMILY,쿠폰 사용,비오는날 10% 스페셜 할인 / 26년 신상품 10만원이상 1만원할인,포인트 미사용,일반 상품,3,3,3,426300,142100.0
FAMILY,쿠폰 미사용,쿠폰 미사용,포인트 미사용,프로모션 상품,6,6,7,425000,70833.33333333333
FAMILY,쿠폰 사용,Winter Festival 10% (오후6시) / 202511 생일축하쿠폰1만원,포인트 사용,일반 상품,1,1,1,424370,424370.0
FAMILY,쿠폰 사용,2025년 11월 신규회원 5000원 할인 / Winter Festival 10% (오전10시),포인트 사용,일반 상품,1,1,1,421270,421270.0
FAMILY,쿠폰 사용,HSS 30% 할인 쿠폰 / HSS 30% 할인 쿠폰,포인트 사용,일반 상품,6,5,12,416826,69471.0
FAMILY,쿠폰 사용,"신규회원 스페셜 5,000 / Winter Festival 20% (오전10시)",포인트 사용,일반 상품,2,2,3,416180,208090.0
FAMILY,쿠폰 사용,2026년 2월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인 / 202602 생일축하쿠폰1만원,포인트 사용,일반 상품,1,1,2,415060,415060.0
FAMILY,쿠폰 사용,비오는날 10% 스페셜 할인,포인트 사용,일반 상품,6,6,6,410710,68451.66666666667
FAMILY,쿠폰 사용,비오는날 10% 스페셜 할인 / 26년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,3,3,3,408800,136266.66666666666
FAMILY,쿠폰 사용,Winter Festival 10% (오후6시) / 2025년 11월 신규회원 5000원 할인,포인트 사용,일반 상품,2,2,2,407120,203560.0
FAMILY,쿠폰 사용,202604 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,5,5,5,400230,80046.0
FAMILY,쿠폰 사용,2026년 3월 신규회원 5000원 할인 / GNR 스페셜 20%,포인트 사용,일반 상품,4,4,4,399800,99950.0
FAMILY,쿠폰 사용,202605 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,5,5,6,397430,79486.0
FAMILY,쿠폰 사용,등급할인10% / 25년 신상품 40만원이상 4만원할인,포인트 사용,일반 상품,1,1,2,396900,396900.0
FAMILY,쿠폰 미사용,2026년 3월 신규회원 5000원 할인,포인트 미사용,일반 상품,3,3,4,396500,132166.66666666666
FAMILY,쿠폰 사용,"신규회원 스페셜 5,000 / Winter Festival 20% (오후6시)",포인트 미사용,일반 상품,1,1,1,387440,387440.0
FAMILY,쿠폰 사용,26년 신상품 20만원이상 2만원할인 / 2026년 2월 신규회원 5000원 할인,포인트 미사용,일반 상품,2,2,4,385780,192890.0
FAMILY,쿠폰 사용,HSS 30% 할인 쿠폰,포인트 미사용,일반 상품,7,6,7,380905,54415.0
FAMILY,쿠폰 미사용,26년 신상품 20만원이상 2만원할인,포인트 미사용,일반 상품,3,3,5,380600,126866.66666666667
FAMILY,쿠폰 사용,26년 신상품 40만원이상 4만원할인 / 202602 생일축하쿠폰1만원 / 등급할인10%,포인트 미사용,일반 상품,1,1,4,374100,374100.0
FAMILY,쿠폰 사용,26년 신상품 10만원이상 1만원할인 / 202605 생일축하쿠폰1만원,포인트 사용,일반 상품,3,3,6,373340,124446.66666666667
FAMILY,쿠폰 사용,26년 신상품 40만원이상 4만원할인,포인트 미사용,일반 상품,1,1,3,373000,373000.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 5월 신규회원 5000원 할인 / 등급할인10%,포인트 미사용,일반 상품,1,1,4,368280,368280.0
FAMILY,쿠폰 미사용,2026년 2월 신규회원 5000원 할인,포인트 사용,일반 상품,7,7,8,366178,52311.142857142855
FAMILY,쿠폰 사용,202601 생일축하쿠폰1만원 / 26년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,4,4,5,364110,91027.5
FAMILY,쿠폰 사용,2026년 4월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인 / 등급할인10%,포인트 사용,일반 상품,2,2,3,362260,181130.0
FAMILY,쿠폰 사용,등급할인20% / 등급할인20% / 25년 신상품 20만원이상 2만원할인,포인트 사용,일반 상품,1,1,4,360850,360850.0
FAMILY,쿠폰 사용,등급할인10% / 첫 구매 장바구니 10% 할인 / 2026년 4월 신규회원 5000원 할인,포인트 사용,일반 상품,1,1,2,350890,350890.0
FAMILY,쿠폰 미사용,무료배송쿠폰(3만원미만 사용가능),포인트 미사용,일반 상품,15,15,17,345900,23060.0
FAMILY,쿠폰 미사용,등급할인10% / 26년 신상품 20만원이상 2만원할인,포인트 사용,일반 상품,3,3,3,343530,114510.0
FAMILY,쿠폰 사용,26년 신상품 30만원이상 3만원할인 / 202512 생일축하쿠폰1만원,포인트 미사용,일반 상품,1,1,1,339000,339000.0
FAMILY,쿠폰 사용,F25 온라인 전용 10% 할인,포인트 사용,일반 상품,13,13,13,338020,26001.53846153846
FAMILY,쿠폰 사용,Winter Festival 15% (오후6시),포인트 미사용,일반 상품,2,2,2,337790,168895.0
FAMILY,쿠폰 미사용,202603 생일축하쿠폰1만원,포인트 미사용,일반 상품,4,4,5,337500,84375.0
FAMILY,쿠폰 사용,202605 생일축하쿠폰1만원 / 등급할인10% / 26년 신상품 30만원이상 3만원할인,포인트 사용,일반 상품,1,1,2,332270,332270.0
FAMILY,쿠폰 사용,25년 신상품 30만원이상 3만원할인 / 2025년 12월 신규회원 5000원 할인,포인트 사용,일반 상품,1,1,1,332000,332000.0
FAMILY,쿠폰 사용,202512 생일축하쿠폰1만원 / 26년 신상품 30만원이상 3만원할인,포인트 사용,일반 상품,1,1,1,327000,327000.0
FAMILY,쿠폰 사용,2026년 4월 신규회원 5000원 할인 / 등급할인10% / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,2,2,4,322450,161225.0
FAMILY,쿠폰 사용,25년 신상품 30만원이상 3만원할인,포인트 사용,일반 상품,1,1,1,322070,322070.0
FAMILY,쿠폰 사용,202601 생일축하쿠폰1만원 / 26년 신상품 30만원이상 3만원할인,포인트 미사용,일반 상품,1,1,1,319000,319000.0
FAMILY,쿠폰 사용,26년 신상품 20만원이상 2만원할인 / 등급할인10% / 202601 생일축하쿠폰1만원,포인트 사용,일반 상품,1,1,3,318550,318550.0
FAMILY,쿠폰 사용,2026년 4월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인 / 등급할인10%,포인트 미사용,일반 상품,2,2,3,316980,158490.0
FAMILY,쿠폰 사용,등급할인10% / GNR 스페셜 20% / 2026년 3월 신규회원 5000원 할인,포인트 미사용,일반 상품,1,1,4,316080,316080.0
FAMILY,쿠폰 사용,"신규회원 스페셜 5,000 / GNR 스페셜 20%",포인트 사용,일반 상품,1,1,4,313800,313800.0
FAMILY,쿠폰 사용,202603 생일축하쿠폰1만원 / 26년 신상품 30만원이상 3만원할인 / 등급할인10%,포인트 사용,일반 상품,1,1,3,313410,313410.0
FAMILY,쿠폰 사용,등급할인10% / 25년 신상품 30만원이상 3만원할인 / 202511 생일축하쿠폰1만원,포인트 사용,일반 상품,1,1,4,312650,312650.0
FAMILY,쿠폰 사용,2025년 11월 신규회원 5000원 할인 / Winter Festival 15% (오후6시),포인트 미사용,일반 상품,1,1,1,311440,311440.0
FAMILY,쿠폰 사용,"Winter Festival 15% (오전10시) / 신규회원 스페셜 5,000",포인트 사용,일반 상품,1,1,1,309440,309440.0
FAMILY,쿠폰 사용,"등급할인10% / 신규회원 스페셜 5,000 / 첫 구매 장바구니 10% 할인",포인트 사용,일반 상품,2,2,4,307680,153840.0
FAMILY,쿠폰 사용,비오는날 10% 스페셜 할인 / 26년 신상품 30만원이상 3만원할인,포인트 사용,일반 상품,1,1,3,305000,305000.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 무료배송쿠폰(3만원미만 사용가능),포인트 미사용,일반 상품,14,14,16,302940,21638.571428571428
FAMILY,쿠폰 사용,Winter Festival 20% (오전10시),포인트 사용,일반 상품,2,2,2,301200,150600.0
FAMILY,쿠폰 사용,202604 생일축하쿠폰1만원 / 26년 신상품 20만원이상 2만원할인,포인트 미사용,일반 상품,1,1,3,297800,297800.0
FAMILY,쿠폰 사용,2026년 3월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인 / 등급할인10%,포인트 사용,일반 상품,1,1,2,297590,297590.0
FAMILY,쿠폰 사용,등급할인10% / 26년 신상품 20만원이상 2만원할인 / 202604 생일축하쿠폰1만원,포인트 사용,일반 상품,1,1,3,297100,297100.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 등급할인10% / 2026년 3월 신규회원 5000원 할인,포인트 사용,일반 상품,1,1,2,295990,295990.0
FAMILY,쿠폰 사용,Winter Festival 20% (오전10시) / 2025년 11월 신규회원 5000원 할인,포인트 미사용,일반 상품,1,1,1,293120,293120.0
FAMILY,쿠폰 사용,202601 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인 / 2026년 1월 신규회원 5000원 할인,포인트 사용,일반 상품,2,2,4,292860,146430.0
FAMILY,쿠폰 사용,25년 신상품 10만원이상 1만원할인 / 202512 생일축하쿠폰1만원,포인트 미사용,일반 상품,2,2,2,288000,144000.0
FAMILY,쿠폰 사용,202512 생일축하쿠폰1만원 / 26년 신상품 20만원이상 2만원할인,포인트 미사용,일반 상품,1,1,2,286300,286300.0
FAMILY,쿠폰 사용,등급할인10% / 25년 신상품 30만원이상 3만원할인,포인트 사용,일반 상품,1,1,1,286090,286090.0
FAMILY,쿠폰 사용,202604 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인 / 등급할인10%,포인트 사용,일반 상품,1,1,2,286090,286090.0
FAMILY,쿠폰 사용,2026년 2월 신규회원 5000원 할인 / 26년 신상품 20만원이상 2만원할인,포인트 사용,일반 상품,1,1,2,283000,283000.0
FAMILY,쿠폰 사용,26년 신상품 20만원이상 2만원할인 / F25 온라인 전용 10% 할인 / 202602 생일축하쿠폰1만원 / 2026년 2월 신규회원 5000원 할인,포인트 미사용,일반 상품,1,1,3,279100,279100.0
FAMILY,쿠폰 사용,"무료배송쿠폰(등급혜택, 3만원미만 사용가능) / 202604 생일축하쿠폰1만원",포인트 사용,일반 상품,14,14,14,272910,19493.571428571428
FAMILY,쿠폰 미사용,첫 구매 장바구니 10% 할인 / 2026년 4월 신규회원 5000원 할인,포인트 미사용,일반 상품,2,2,4,272000,136000.0
FAMILY,쿠폰 사용,26년 신상품 30만원이상 3만원할인 / 등급할인10%,포인트 미사용,일반 상품,1,1,3,270100,270100.0
FAMILY,쿠폰 미사용,첫 구매 장바구니 10% 할인 / 2025년 12월 신규회원 5000원 할인,포인트 사용,일반 상품,6,6,6,267800,44633.333333333336
FAMILY,쿠폰 미사용,26년 신상품 10만원이상 1만원할인,포인트 미사용,일반 상품,4,4,5,267100,66775.0
