coupon_flag,coupon_name,point_flag,promotion_flag,orders,buyers,quantity,revenue,coupon_amount,mileage_amount,promotion_amount,aov
쿠폰 사용,첫 구매 장바구니 10% 할인 / 202601 생일축하쿠폰1만원,포인트 미사용,일반 상품,15,15,18,2608110,439790,0,0,173874.0
쿠폰 사용,202603 생일축하쿠폰1만원,포인트 사용,일반 상품,46,46,46,2575990,460000,204420,0,55999.782608695656
쿠폰 사용,202605 생일축하쿠폰1만원,포인트 사용,일반 상품,55,55,55,2573570,550000,382230,0,46792.181818181816
쿠폰 사용,2025년 11월 신규회원 5000원 할인,포인트 미사용,일반 상품,14,14,14,2525400,70000,0,0,180385.7142857143
쿠폰 사용,등급할인10% / 26년 신상품 40만원이상 4만원할인,포인트 사용,일반 상품,6,6,14,2481210,449400,61760,0,413535.0
쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 6월 신규회원 5000원 할인,포인트 미사용,일반 상품,18,18,29,2410650,357850,0,0,133925.0
쿠폰 사용,26년 신상품 30만원이상 3만원할인,포인트 미사용,일반 상품,8,8,12,2392200,221800,0,0,299025.0
쿠폰 사용,25년 신상품 70만원이상 7만원할인,포인트 미사용,일반 상품,3,3,35,2385000,190000,0,0,795000.0
쿠폰 사용,등급할인20% / 26년 신상품 20만원이상 2만원할인,포인트 사용,일반 상품,11,10,23,2345770,678000,209570,0,213251.81818181818
쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 6월 신규회원 5000원 할인,포인트 사용,일반 상품,16,16,25,2298640,335960,53000,0,143665.0
쿠폰 사용,26년 신상품 20만원이상 2만원할인 / 등급할인20%,포인트 사용,일반 상품,10,9,25,2273640,627600,130160,0,227364.0
쿠폰 사용,202603 생일축하쿠폰1만원,포인트 미사용,일반 상품,34,34,34,2211780,340000,0,0,65052.35294117647
쿠폰 사용,2026년 1월 신규회원 5000원 할인,포인트 미사용,일반 상품,25,25,25,2208600,125000,0,0,88344.0
쿠폰 사용,첫 구매 장바구니 10% 할인 / 2025년 11월 신규회원 5000원 할인,포인트 미사용,일반 상품,14,14,15,2177010,311890,0,0,155500.7142857143
쿠폰 사용,등급할인10% / 26년 신상품 30만원이상 3만원할인,포인트 사용,일반 상품,7,7,18,2171560,383300,88320,0,310222.85714285716
쿠폰 미사용,26년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,22,22,31,2107440,0,110040,0,95792.72727272728
쿠폰 사용,2026년 4월 신규회원 5000원 할인,포인트 미사용,일반 상품,22,22,23,2102700,110000,0,0,95577.27272727272
쿠폰 미사용,무료배송쿠폰(3만원미만 사용가능),포인트 사용,일반 상품,119,119,145,2073707,0,1255300,0,17426.10924369748
쿠폰 사용,첫 구매 장바구니 10% 할인 / 202602 생일축하쿠폰1만원,포인트 사용,일반 상품,21,21,22,2066115,462315,204700,0,98386.42857142857
쿠폰 사용,25년 신상품 10만원이상 1만원할인,포인트 미사용,일반 상품,15,14,19,2059300,150000,0,0,137286.66666666666
쿠폰 사용,26년 신상품 50만원이상 5만원할인,포인트 미사용,일반 상품,4,4,21,2055000,200000,0,0,513750.0
쿠폰 사용,첫 구매 장바구니 10% 할인 / 202512 생일축하쿠폰1만원,포인트 미사용,일반 상품,13,13,13,2008440,353160,0,0,154495.38461538462
쿠폰 미사용,202602 생일축하쿠폰1만원,포인트 사용,일반 상품,44,44,58,1882809,0,297470,0,42791.11363636364
쿠폰 사용,202601 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,12,12,13,1840470,332830,75000,0,153372.5
쿠폰 사용,202605 생일축하쿠폰1만원,포인트 미사용,일반 상품,27,27,27,1831600,270000,0,0,67837.03703703704
쿠폰 미사용,26년 신상품 10만원이상 1만원할인 / 등급할인10%,포인트 사용,일반 상품,18,18,30,1769310,0,45270,0,98295.0
쿠폰 사용,2026년 2월 신규회원 5000원 할인,포인트 미사용,일반 상품,18,18,19,1756850,90000,0,0,97602.77777777778
쿠폰 사용,25년 신상품 20만원이상 2만원할인,포인트 사용,일반 상품,8,8,16,1700630,160000,81570,0,212578.75
