product_code,product_name_kor,product_name,source_image_url,repeat_orders,repeat_buyers,avg_days_since_prev_order,quantity,revenue,image_url,image_source,repeat_rate
C55YU6488430,공용 호쏜 레인 로우 알트 방수 스니커즈,HAWTHORNE™ RAIN LOW ALT,,4,3,2.25,4,388000,assets/product_images/C55YU6488430.jpg,styleship_cdn_pattern+downloaded,0.75
C65BL0341010,여성 픽프릭 러쉬 샌달,PEAKFREAK RUSH SHANDAL,,5,4,2.166666666666667,6,387000,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C65BL0341010.jpg,styleship_cdn_pattern,0.8
C52YM6422397,남성 피나클 투 에비뉴™ OFZ Ice 폴로,Ms Pinnacle to Avenue™ OFZ Ice Polo,,5,5,2.4,5,386100,assets/product_images/C52YM6422397.jpg,styleship_cdn_pattern+downloaded,1.0
C52YM8424048,남성 클린치 레이크™ OFZ ICE+ 팬츠,Ms Clinch Lake™ OFZ ICE+ Pants,,3,3,3.0,3,384750,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C52YM8424048.jpg,styleship_cdn_pattern,1.0
C72AE5094375,공용 애커 록 컨버터블 팬츠,Acker Rock Convertible Pant,,3,3,3.6666666666666665,3,384700,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C72AE5094375.jpg,styleship_cdn_pattern,1.0
C66YU0428010,공용 호버튜버 II 워터프루프,HOVERTUBER II WATERPROOF,,5,5,2.4000000000000004,5,384140,assets/product_images/C66YU0428010.jpg,styleship_cdn_pattern+downloaded,1.0
C64FO8530011,[공식몰 단독] 남성 PFG 언차티드 인슐레이션 아노락,PFG Uncharted II Insulated Anorak,,3,3,2.6666666666666665,3,382300,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C64FO8530011.jpg,styleship_cdn_pattern,1.0
C54YM6482039,남성 밸리 투 패스™ 크루,Ms Valley to Pass™ Crew,,5,5,2.2,5,382120,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C54YM6482039.jpg,styleship_cdn_pattern,1.0
C56BK5371397,여성 크레스트우드 미드 워터프루프 와이드핏,CRESTWOOD™ MID WATERPROOF WIDE,,4,4,2.0,4,380980,assets/product_images/C56BK5371397.jpg,excel_map+downloaded,1.0
C52YL6435626,여성 레이크 투 림 폴로,Ws Lake to Rim™ Polo,,4,3,2.0,9,380540,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C52YL6435626.jpg,styleship_cdn_pattern,0.75
C71YM3590212,남성 365 마운틴 II 3L 방수자켓,M's 365 Mountain II Rain Jacket,,1,1,4.0,1,379530,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71YM3590212.jpg,styleship_cdn_pattern,1.0
C66CU5879011,공용 인피니티 트레일 바라클라바,Infinity Trail Balaclava,,13,12,3.692307692307692,16,379530,assets/product_images/C66CU5879011.jpg,excel_map+downloaded,0.9230769230769231
C64YL3582010,여성 애플 리버 다운 자켓,W's Apple River Down Jacket,,2,2,5.0,2,379000,assets/product_images/C64YL3582010.jpg,excel_map+downloaded,1.0
C64YL3582211,여성 애플 리버 다운 자켓,W's Apple River Down Jacket,,2,2,4.5,2,379000,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C64YL3582211.jpg,styleship_cdn_pattern,1.0
C51WE4267011,남성 페인티드 피크™ 윈드 자켓,Painted Peak™ Wind Jacket,,7,7,2.285714285714286,7,378780,assets/product_images/C51WE4267011.jpg,styleship_cdn_pattern+downloaded,1.0
C55BM0378012,남성 코노스 TRS 아웃드라이,KONOS™ TRS OUTDRY™,,3,3,2.3333333333333335,3,378000,assets/product_images/C55BM0378012.jpg,styleship_cdn_pattern+downloaded,1.0
