product_code,product_name_kor,product_size,product_color,orders,buyers,quantity,revenue
C52YM1421010,공용 머디 비치 베스트,100,010,23,23,23,2540350
C62WE2798010,공용 코브 비치 윈드브레이커 자켓,L,010,17,16,23,2538800
C65BL0341278,여성 픽프릭 러쉬 샌달,240,278,24,24,24,2538330
C61YM3594466,공용 365 마운틴 3L 방수자켓,105,466,8,8,8,2532980
C54AE4498366,남성 헬베시아 II 프린티드 하프스냅 플리스 아노락,L,366,37,37,37,2532660
C64AE4498461,[추영우 착용] 공용 헬베시아 II 프린티드 하프스냅 플리스 풀오버,XXL,461,34,34,34,2523460
C54XR9829010,여성 타임 투 트레일™ 옴니히트™ 팬츠,M,010,27,27,27,2520180
C66YM0696027,공용 다운 투 다크 트래퍼,61,027,44,44,46,2519430
C66PU8729010,[공식몰 단독] 공용 그레이트 스모키 가든 2 WAY 토트백,OS,010,35,34,37,2518370
C55YU5270469,공용 호쏜 레인 로우 옴니테크 방수 스니커즈,270,469,40,40,40,2512400
C54YL3487581,여성 파운 피크 다운 자켓,95,581,12,12,12,2509940
C54AR7330010,여성 헬베시아 II 크롭 하프스냅 플리스 아노락,S,010,49,48,49,2509810
C61XE5850227,남성 센트릴리엄 2.5 레이어 방수 자켓,M,227,13,13,15,2506840
C64WE0604429,남성 실버 리프 라이트 하이브리드 후디드 인슐레이션 자켓,L,429,10,10,15,2506622
C51AM5287027,남성 랜드로머 카고 셔츠,L,027,51,51,51,2505310
C54YL8485381,여성 코말 포크 인슐레이션 와이드 경량 패딩 팬츠,65,381,24,24,24,2502430
C54YM3486010,남성 그레타 에비뉴™ 다운 자켓,105,010,14,14,16,2497800
C65YL7787010,여성 이스케이프 쓰라이브 샌들,240,010,23,23,23,2493270
C53AP3450292,여성 시커™ 레전드 2.0 티셔츠,M,292,87,86,87,2492780
C66BI0652014,남성 크레스트우드 미드 워터프루프 와이드핏,270,014,20,20,20,2489400
C55YU5270349,공용 호쏜 레인 로우 옴니테크 방수 스니커즈,280,349,38,38,38,2486990
C56PU8721030,공용 타이거 브룩™ 40L 트래블 백팩,OS,030,17,17,17,2484840
C75YU0369257,공용 본레 포레스트 20L 패커블 경량 백팩,20L,257,39,38,47,2476420
C52XE8841126,남성 콜드 베이 대쉬 숏 반팔 라운드 티셔츠,L,126,68,68,68,2473640
C54YM3483010,남성 빅토리아 루프 롱 다운 자켓,105,010,9,9,9,2473570
C64YL3583010,여성 패스 대쉬 포레스트Ⅲ 다운 자켓,105,010,6,6,6,2472350
C54WE4714010,공용 하이크바운드 인터체인지 자켓,S,010,14,14,18,2467130
C64YM3596010,남성 스톤 데쉬 플리스 자켓,105,010,15,15,16,2465560
C64YL3571010,여성 아보카 트레일 경량 다운 자켓,100,010,11,11,12,2461560
C54YM3476319,남성 샷오버 힐™ 경량 패딩 자켓,95,319,15,11,17,2453790
C56YU0367010,공용 레드우드™ 35L 백팩,35L,010,18,18,18,2449760
C51WE3507010,남성 앰플리 드라이™ 방수 2.5L 자켓,XL,010,17,17,17,2444140
C61XE5850227,남성 센트릴리엄 2.5 레이어 방수 자켓,L,227,15,15,15,2443930
C56YU9904607,공용 니들 락 데쉬™ 3단 듀얼스틱,OS,607,23,22,24,2440030
C54YL3486010,여성 앤 로드 다운 자켓,95,010,18,17,18,2439240
C56YE4769039,남성 트랜스트레커 아웃드라이,265,039,18,17,18,2439220
C64AE5780191,공용 헬베시아 II 하프스냅 플리스 아노락,S,191,38,38,38,2437480
C54YM3488011,남성 왈라 왈라 대쉬™ 다운 자켓,105,011,8,7,9,2433810
C55YU5270010,공용 호쏜 레인 로우 옴니테크,260,010,23,22,23,2429750
C54YL8473211,여성 먼데이 하버™ 스트레이트 팬츠,65,211,24,24,24,2427880
C43WE4686257,남성 익스플로러스 엣지™ 방수 패딩 자켓,XL,257,21,21,21,2426460
C62YM6536010,[추영우 착용] 남성 스토니 레이크 OFZ ICE+ 셋업 폴로 티셔츠,105,010,31,30,34,2425320
C64XM5107100,[DISNEY] 남성 디즈니 하프 스냅 플리스 티셔츠,L,100,21,21,21,2424740
C64YM3572027,남성 컬럼비아 락 다운 자켓,110,027,5,5,5,2421035
C75BK8634083,여성 텔루릭스 타이타늄 아웃드라이 와이드,240,083,11,11,13,2420910
C55BI5371326,남성 크레스트우드 미드 워터프루프 와이드핏,270,326,25,25,25,2415600
C64YL3571010,여성 아보카 트레일 경량 다운 자켓,95,010,7,7,11,2409810
C64WE6671010,공용 캐스케이드 인터체인지 자켓,XL,010,5,5,7,2406540
