order_date,product_code,product_name_kor,product_name,source_image_url,first_orders,first_buyers,quantity,revenue,image_url,image_source
2026-04-17,C71AR0356272,여성 실버릿지 3.0 긴팔 셔츠,Silver Ridge 3.0 LS,,1,1,1,51570,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71AR0356272.jpg,styleship_cdn_pattern
2026-04-17,C75YU0369060,공용 본레 포레스트 20L 패커블 경량 백팩,Bonre Forest 20L Packable Backpack,,1,1,1,50600,assets/product_images/C75YU0369060.jpg,excel_map+downloaded
2026-04-17,C75CU8623100,경량 스피드 트레일 러닝 볼캡,Speed Trail Ball Cap,,1,1,1,49000,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75CU8623100.jpg,styleship_cdn_pattern
2026-04-17,C72AE9400101,공용 CSC 헤비웨이트 백그래픽 반팔 티셔츠,CSC Heavyweight Back Graphic Tee,,1,1,1,49000,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C72AE9400101.jpg,styleship_cdn_pattern
2026-04-17,C75YM0659464,공용 트레일 투 브러쉬 부니,Trail to Brush Booney,,1,1,1,43580,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75YM0659464.jpg,styleship_cdn_pattern
2026-04-17,C62AE3282125,남성 코브 비치 포켓 반팔티,Cove Beach Pocket Tee,,1,1,1,41000,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C62AE3282125.jpg,styleship_cdn_pattern
2026-04-17,C75YU0625010,공용 롤링코브III 볼캡,Rolling Cove III Cap,,1,1,1,35100,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75YU0625010.jpg,styleship_cdn_pattern
2026-04-17,C75CU5631031,공용 쿨헤드 III 냉감 볼캡,Coolhead III Ball Cap,,1,1,1,29000,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75CU5631031.jpg,styleship_cdn_pattern
2026-04-17,C52XO3600213,남성 블루스템 7부 팬츠,Bluestem™ Knee Pant,,1,1,1,28000,assets/product_images/C52XO3600213.jpg,styleship_cdn_pattern+downloaded
2026-04-17,C66PU5803397,공용 레인보우 스파이어 부니,Rainbow Spire Booney,,1,1,1,27200,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C66PU5803397.jpg,styleship_cdn_pattern
2026-04-17,C56YL0657439,여성 아일 투 레이크 부니,Isle to Lake™ Booney,,1,1,1,23000,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C56YL0657439.jpg,styleship_cdn_pattern
2026-04-17,C75YU0605010,공용 호모치토레이크돔 팔토시,Homochitto Lake Dome™ Arm sleeve,,1,1,1,20000,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75YU0605010.jpg,styleship_cdn_pattern
2026-04-17,C75YU0605100,공용 호모치토레이크돔 팔토시,Homochitto Lake Dome™ Arm sleeve,,1,1,1,20000,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75YU0605100.jpg,styleship_cdn_pattern
2026-04-18,C75BI8634083,남성 텔루릭스 타이타늄 아웃드라이 와이드,TELLURIX TITANIUM OUTDRY WIDE,,2,2,2,381200,assets/product_images/C75BI8634083.jpg,excel_map+downloaded
2026-04-18,C75YE6448010,남성 트랜스 트레일 워터프루프,TRANS TRAIL WATERPROOF,,1,1,2,223090,assets/product_images/C75YE6448010.jpg,excel_map+downloaded
2026-04-18,C71AE8980010,남성 실버 릿지 엘리트 컨버터블 팬츠,Silver Ridge Elite Convertible Pant,,1,1,2,206060,assets/product_images/C71AE8980010.jpg,excel_map+downloaded
2026-04-18,C75BI8634010,[추영우 착용] 남성 텔루릭스 타이타늄 아웃드라이 와이드,TELLURIX TITANIUM OUTDRY WIDE,,1,1,1,192600,assets/product_images/C75BI8634010.jpg,excel_map+downloaded
